TimeStamp,ch1,ch2,ch3,ch4
1213266.0374,5899.57,34619.38,35003.0,36157.76
1213266.0414,5897.57,34618.1,35004.76,36164.43
1213266.0454,5918.17,34644.37,35026.51,36186.94
1213266.0494,5911.26,34635.4,35025.17,36185.79
1213266.0534,5896.43,34630.35,35015.16,36173.06
1213266.0574,5882.88,34615.85,34999.09,36158.47
1213266.0614,5874.54,34615.9,34993.46,36151.03
1213266.0654,5875.11,34619.76,34998.37,36153.85
1213266.0694,5879.69,34607.75,34998.33,36154.23
1213266.0734,5865.24,34604.36,34991.22,36148.41
1213266.0774,5865.86,34604.84,34986.02,36145.36
1213266.0814,5882.26,34622.34,34992.99,36154.04
1213266.0854,5878.5,34612.18,34996.7,36162.09
1213266.0894,5878.35,34603.08,34998.13,36169.1
1213266.0931,5882.31,34603.08,34994.8,36164.67
1213266.0971,5892.09,34607.75,35002.38,36173.82
1213266.1011,5887.89,34616.05,35012.44,36184.79
1213266.1051,5877.64,34614.66,35008.86,36181.12
1213266.1091,5874.68,34609.85,34999.85,36172.59
1213266.1131,5875.4,34615.81,35001.95,36171.15
1213266.1171,5876.45,34609.37,35003.19,36169.25
1213266.1211,5888.08,34608.75,35010.49,36175.64
1213266.1251,5899.24,34619.1,35022.79,36185.32
1213266.1291,5913.93,34628.01,35034.09,36192.18
1213266.1331,5919.41,34642.03,35041.72,36194.81
1213266.1371,5917.55,34636.93,35039.14,36193.04
1213266.1411,5909.49,34628.78,35030.56,36185.27
1213266.1451,5906.3,34639.17,35032.32,36189.37
1213266.1491,5899.86,34628.44,35022.93,36183.7
1213266.1531,5899.76,34633.97,35017.69,36180.21
1213266.1571,5883.17,34621.15,35001.14,36166.39
1213266.1611,5883.6,34616.28,34996.99,36161.05
1213266.1651,5885.17,34619.48,34998.33,36162.52
1213266.1691,5877.92,34621.62,34997.8,36163.62
1213266.1731,5880.64,34615.0,34991.94,36160.38
1213266.1771,5881.88,34617.57,34991.89,36162.43
1213266.1811,5884.27,34616.67,34990.27,36165.91
1213266.1851,5887.37,34611.99,34990.7,36170.58
