TimeStamp,ch1,ch2,ch3,ch4
8556.7052,68353.61,36563.78,32238.68,34252.6
8556.7092,68365.49,36579.85,32241.63,34266.38
8556.7132,68357.09,36572.75,32235.1,34264.28
8556.7172,68337.83,36553.05,32220.51,34243.78
8556.7212,68345.79,36554.29,32227.57,34246.73
8556.7252,68344.98,36555.29,32223.66,34245.78
8556.7292,68339.64,36559.16,32216.08,34245.54
8556.7332,68351.47,36569.84,32228.38,34259.18
8556.7372,68344.08,36557.63,32224.09,34248.59
8556.7412,68345.79,36561.16,32229.48,34245.92
8556.7452,68360.43,36574.03,32245.4,34257.75
8556.7492,68371.78,36589.82,32251.74,34271.15
8556.7532,68364.82,36585.76,32242.02,34266.76
8556.7572,68351.04,36574.08,32231.67,34251.79
8556.7612,68341.93,36558.87,32228.43,34237.77
8556.7652,68358.62,36574.27,32243.16,34250.22
8556.7692,68375.17,36596.02,32254.27,34271.39
8556.7732,68365.92,36588.82,32245.02,34265.43
8556.7772,68366.92,36585.62,32248.55,34266.91
8556.7812,68360.15,36580.81,32243.97,34258.27
8556.7852,68363.15,36586.34,32245.02,34258.75
8556.7892,68367.44,36594.2,32247.93,34266.43
8556.7932,68352.95,36579.42,32234.29,34254.79
8556.7972,68332.58,36554.53,32219.08,34232.76
8556.8009,68327.29,36546.28,32218.41,34225.13
8556.8049,68342.26,36564.64,32231.14,34239.44
8556.8089,68355.62,36584.1,32240.11,34258.56
8556.8129,68345.22,36574.51,32228.52,34251.88
8556.8169,68347.22,36574.61,32231.72,34252.46
8556.8209,68362.05,36584.29,32247.93,34258.42
8556.8249,68360.91,36580.09,32242.35,34252.98
8556.8289,68362.43,36583.62,32239.82,34261.56
8556.8329,68352.56,36570.74,32232.81,34254.13
8556.8369,68355.62,36569.74,32239.01,34254.84
8556.8409,68358.67,36576.47,32245.83,34263.09
8556.8449,68354.85,36576.8,32240.97,34259.99
8556.8489,68355.81,36580.14,32234.72,34262.8
8556.8529,68372.21,36597.3,32251.89,34280.45
8556.8569,68364.1,36585.81,32248.41,34272.1
8556.8609,68347.84,36569.98,32235.67,34252.6
8556.8649,68347.89,36574.99,32237.53,34250.26
8556.8689,68355.62,36582.28,32241.16,34259.99
8556.8729,68355.14,36585.14,32238.49,34262.47
8556.8769,68347.65,36574.32,32238.87,34251.55
8556.8809,68333.92,36556.06,32231.48,34232.76
8556.8849,68334.49,36558.54,32223.9,34230.47
8556.8889,68338.31,36564.5,32225.99,34237.2
8556.8929,68334.4,36560.49,32222.89,34237.34
8556.8969,68339.64,36562.97,32225.23,34242.01
8556.9009,68340.5,36558.68,32227.95,34236.82
8556.9049,68347.37,36563.83,32241.25,34241.78
8556.9089,68357.29,36573.65,32253.41,34253.32
8556.9129,68351.04,36569.17,32236.44,34253.27
8556.9169,68353.09,36570.36,32247.12,34256.18
8556.9209,68332.58,36541.42,32234.48,34230.43
8556.9249,68341.22,36552.48,32235.58,34237.29
8556.9289,68347.18,36560.44,32239.63,34249.41
8556.9327,68351.42,36564.21,32238.58,34257.23
8556.9367,68351.18,36561.21,32245.69,34254.75
8556.9407,68355.38,36567.88,32239.73,34260.13
8556.9447,68351.8,36568.31,32232.53,34255.6
8556.9487,68370.49,36590.15,32247.69,34275.54
8556.9527,68354.04,36575.66,32231.86,34261.9
8556.9567,68346.08,36567.12,32229.71,34251.6
8556.9607,68341.69,36562.4,32233.43,34243.25
8556.9647,68345.46,36568.55,32237.72,34245.07
8556.9687,68361.0,36589.58,32244.73,34262.71
8556.9727,68362.67,36593.39,32242.3,34269.77
8556.9767,68357.76,36582.09,32250.36,34263.81
8556.9807,68349.42,36568.22,32248.31,34249.45
8556.9847,68362.63,36584.33,32249.88,34258.89
8556.9887,68366.11,36588.72,32259.18,34262.04
8556.9927,68354.23,36574.42,32243.64,34252.65
8556.9967,68351.9,36566.88,32235.67,34248.88
8557.0007,68339.31,36551.38,32227.66,34231.86
