TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
1213268.753,850.035,-92.232,-403.149,-28813.75,-17797.5,-29855.0,1302.64,-121.6,107.92
1213268.803,900.36,-78.69,-470.554,-28498.75,-25480.0,-25935.0,1281.36,-104.88,72.96
1213268.853,908.961,-70.333,-478.85,-25392.5,-22452.5,-21612.5,1257.04,-89.68,92.72
1213268.903,856.074,-19.642,-478.301,-22356.25,-18698.75,-14175.0,1255.52,-83.6,83.6
1213268.953,872.91,-5.917,-483.913,-24465.0,-22076.25,-7472.5,1272.24,-68.4,77.52
1213269.003,834.846,-2.562,-486.292,-23388.75,-18655.0,5285.0,1246.4,-77.52,68.4
1213269.053,846.07,89.121,-501.298,-25926.25,-28008.75,11628.75,1258.56,-59.28,45.6
1213269.103,860.527,41.236,-535.58,-51161.25,-12845.0,39751.25,1250.96,-65.36,76.0
1213269.153,810.812,-2.928,-551.074,-59823.75,-20186.25,51152.5,1244.88,-71.44,63.84
1213269.203,829.661,-20.069,-597.129,-76685.0,-19013.75,55763.75,1244.88,-82.08,41.04
1213269.253,805.322,-109.617,-603.168,-66220.0,-3132.5,46655.0,1238.8,-83.6,41.04
1213269.303,778.97,-81.496,-632.997,-73570.0,-2012.5,45823.75,1267.68,-83.6,50.16
1213269.353,767.685,-76.616,-621.224,-52106.25,6212.5,31841.25,1252.48,-88.16,56.24
1213269.403,792.451,-99.613,-624.518,-43181.25,6483.75,25007.5,1257.04,-85.12,59.28
1213269.453,792.329,-65.758,-615.063,-29391.25,14892.5,25497.5,1244.88,-91.2,57.76
1213269.503,813.679,-34.404,-618.174,-29426.25,12188.75,19932.5,1264.64,-97.28,68.4
1213269.553,858.209,-73.932,-595.604,-23108.75,17316.25,13457.5,1260.08,-107.92,94.24
1213269.603,837.408,-56.669,-575.596,-19232.5,8277.5,385.0,1276.8,-98.8,66.88
1213269.653,826.916,-55.754,-556.381,-19005.0,14236.25,-2808.75,1282.88,-88.16,91.2
1213269.703,843.935,18.727,-555.71,-2065.0,10045.0,1443.75,1278.32,-83.6,91.2
1213269.753,844.667,-87.962,-520.33,4996.25,27142.5,3823.75,1293.52,-95.76,100.32
1213269.803,921.71,-82.716,-559.797,4418.75,-3456.25,9528.75,1281.36,-103.36,92.72
1213269.853,776.713,-85.217,-521.062,43050.0,17430.0,-11165.0,1276.8,-106.4,109.44
1213269.903,849.73,-147.803,-500.139,43461.25,-6991.25,-10570.0,1292.0,-114.0,112.48
1213269.9531,730.963,-125.355,-491.843,95952.5,0.0,-39628.75,1269.2,-110.96,118.56
1213270.003,795.074,-95.587,-538.142,78601.25,-23458.75,-40442.5,1282.88,-126.16,112.48
1213270.053,824.11,-79.361,-540.155,92260.0,-15155.0,-45893.75,1270.72,-130.72,92.72
1213270.103,845.155,-70.577,-532.164,83020.0,-21595.0,-42306.25,1281.36,-121.6,103.36
1213270.153,878.156,-38.308,-526.796,78172.5,-15216.25,-32900.0,1267.68,-114.0,80.56
1213270.203,894.931,-60.024,-498.614,60243.75,-10368.75,-14813.75,1269.2,-121.6,85.12
1213270.253,935.801,-93.94,-498.37,60803.75,2730.0,-3080.0,1255.52,-120.08,66.88
1213270.303,909.998,-161.589,-462.258,58432.5,11576.25,8610.0,1264.64,-150.48,60.8
1213270.353,860.771,-143.045,-436.394,49525.0,27405.0,8242.5,1264.64,-148.96,77.52
1213270.403,842.776,-167.506,-406.138,15995.0,10972.5,7840.0,1252.48,-173.28,65.36
1213270.453,867.115,-240.035,-424.865,5731.25,6300.0,11620.0,1279.84,-173.28,80.56
1213270.503,848.388,-288.286,-421.51,9712.5,2283.75,12923.75,1276.8,-196.08,94.24
1213270.553,880.84,-268.4,-415.227,7577.5,8338.75,3377.5,1270.72,-199.12,86.64
1213270.603,838.811,-267.119,-391.498,2003.75,6238.75,1365.0,1276.8,-188.48,95.76
1213270.653,895.419,-274.134,-395.951,-5801.25,6763.75,-1680.0,1261.6,-193.04,79.04
1213270.703,875.594,-280.722,-393.511,-9537.5,14542.5,-4130.0,1278.32,-194.56,94.24
1213270.753,862.906,-305.671,-389.058,-10001.25,10368.75,-4611.25,1257.04,-180.88,106.4
1213270.803,863.089,-302.621,-390.644,-6335.0,8750.0,-4103.75,1287.44,-179.36,112.48
1213270.853,850.767,-297.314,-382.897,-3902.5,2791.25,-3823.75,1275.28,-186.96,95.76
1213270.903,880.535,-281.759,-404.796,-3736.25,2266.25,-5442.5,1272.24,-180.88,109.44
1213270.953,875.594,-271.511,-380.274,-3780.0,3360.0,-5967.5,1288.96,-179.36,106.4
1213271.003,890.051,-262.91,-373.259,-1933.75,2817.5,-5897.5,1275.28,-176.32,118.56
1213271.053,889.197,-249.185,-367.281,-2021.25,3815.0,-5250.0,1288.96,-164.16,112.48
1213271.103,889.258,-252.235,-365.085,-1461.25,2371.25,-1951.25,1281.36,-177.84,117.04
1213271.153,900.238,-256.444,-362.34,-761.25,3850.0,-542.5,1278.32,-174.8,117.04
1213271.203,890.112,-252.174,-362.767,752.5,3167.5,-927.5,1293.52,-179.36,126.16
1213271.253,901.58,-258.701,-360.327,1557.5,3780.0,-2913.75,1275.28,-177.84,117.04
1213271.303,892.247,-247.294,-359.839,-840.0,4243.75,-4707.5,1288.96,-185.44,135.28
1213271.353,899.689,-239.364,-357.094,-2852.5,2213.75,-4200.0,1284.4,-180.88,132.24
1213271.403,888.343,-241.926,-352.641,-4261.25,717.5,-3447.5,1287.44,-176.32,115.52
1213271.453,906.46,-238.937,-351.421,-4348.75,-61.25,-2843.75,1288.96,-173.28,129.2
1213271.503,904.203,-240.828,-349.225,-3990.0,1190.0,-1863.75,1287.44,-141.36,120.08
1213271.553,896.822,-247.477,-346.053,-2712.5,-280.0,-875.0,1284.4,-179.36,133.76
1213271.603,904.447,-254.492,-346.968,-1435.0,-218.75,-1225.0,1298.08,-168.72,126.16
1213271.653,897.737,-242.841,-345.992,-1286.25,43.75,-1610.0,1287.44,-170.24,124.64
1213271.703,905.423,-244.854,-353.19,-3421.25,-428.75,-1120.0,1292.0,-171.76,133.76
1213271.753,893.284,-249.429,-351.421,-3010.0,-78.75,-875.0,1281.36,-173.28,136.8
1213271.803,903.471,-243.329,-346.785,-4051.25,332.5,-2021.25,1278.32,-174.8,135.28
1213271.853,890.539,-241.499,-341.417,-4025.0,-717.5,-1846.25,1279.84,-162.64,124.64
1213271.903,887.306,-246.989,-347.761,-3255.0,-2310.0,-2275.0,1282.88,-173.28,124.64
